# 2026-09-01_15:48:33.524463 - WattAMeter run 8df135df-f131-42d1-957a-2052994a42b9
# timestamp                  reading-time[ns] gpu-0[mW]
  2026-09-01_15:48:33.525981 2149375 11075
  2026-09-01_15:48:33.625055 78976 11075
  2026-09-01_15:48:33.725173 62749 11075
  2026-09-01_15:48:33.825342 64751 11407
  2026-09-01_15:48:33.925479 60831 11407
  2026-09-01_15:48:34.025548 56638 11407
  2026-09-01_15:48:34.125702 60442 11407
  2026-09-01_15:48:34.225815 95024 11407
  2026-09-01_15:48:34.325911 109261 10959
  2026-09-01_15:48:34.426048 76389 10959
  2026-09-01_15:48:34.526139 91927 10959
  2026-09-01_15:48:34.626332 108513 10959
  2026-09-01_15:48:34.726475 101990 10959
  2026-09-01_15:48:34.826615 99352 6140
  2026-09-01_15:48:34.926707 100395 6140
  2026-09-01_15:48:35.026794 97625 6140
  2026-09-01_15:48:35.126905 110225 6140
  2026-09-01_15:48:35.226978 90076 6140
  2026-09-01_15:48:35.327277 125792 5781
  2026-09-01_15:48:35.427372 77780 5781
  2026-09-01_15:48:35.527447 69909 5781
  2026-09-01_15:48:35.627649 96788 5781
  2026-09-01_15:48:35.727830 79437 5781
  2026-09-01_15:48:35.827883 43584 4441
  2026-09-01_15:48:35.928103 110432 4441
  2026-09-01_15:48:36.028291 78356 4441
  2026-09-01_15:48:36.128467 75231 4441
  2026-09-01_15:48:36.228538 61337 4441
  2026-09-01_15:48:36.328759 114414 4480
  2026-09-01_15:48:36.428899 87274 4480
  2026-09-01_15:48:36.529088 79752 4480
  2026-09-01_15:48:36.629336 74968 4480
  2026-09-01_15:48:36.729440 91217 4480
  2026-09-01_15:48:36.829518 85341 4478
  2026-09-01_15:48:36.929613 100769 4478
  2026-09-01_15:48:37.020802 62301 4478
# 2026-09-01_15:48:51.834159 - WattAMeter run bd6363ae-6255-4d64-97f7-28e28236f70a
# timestamp                  reading-time[ns] gpu-0[mW]
  2026-09-01_15:48:51.836255 3689184 5005
  2026-09-01_15:48:51.934623 107854 5005
  2026-09-01_15:48:52.034710 90635 5005
  2026-09-01_15:48:52.134817 103496 5005
  2026-09-01_15:48:52.234949 57459 5005
  2026-09-01_15:48:52.335153 103858 4502
  2026-09-01_15:48:52.435287 60059 4502
  2026-09-01_15:48:52.535399 124742 4502
  2026-09-01_15:48:52.635471 94961 4502
  2026-09-01_15:48:52.735555 91353 4502
  2026-09-01_15:48:52.835649 107223 5861
  2026-09-01_15:48:52.935829 97492 5861
  2026-09-01_15:48:53.035997 102823 5861
  2026-09-01_15:48:53.136217 118881 5861
  2026-09-01_15:48:53.236295 83726 5861
  2026-09-01_15:48:53.336389 77973 6266
  2026-09-01_15:48:53.436572 93500 6266
  2026-09-01_15:48:53.536739 87036 6266
  2026-09-01_15:48:53.636977 114231 6266
  2026-09-01_15:48:53.737156 74091 6266
  2026-09-01_15:48:53.837328 92172 4440
  2026-09-01_15:48:53.937493 109971 4440
  2026-09-01_15:48:54.037645 67561 4440
  2026-09-01_15:48:54.069775 88764 4440
